draw,pthread,28,1,0.33,4.36,4.78
draw,pthread,28,1,0.35,4.41,4.84
draw,pthread,28,1,0.34,4.32,4.75
draw,pthread,28,2,0.37,4.20,3.07
draw,pthread,28,2,0.37,4.20,3.07
draw,pthread,28,2,0.38,4.23,3.10
draw,pthread,28,3,0.40,4.29,2.63
draw,pthread,28,3,0.37,4.36,2.65
draw,pthread,28,3,0.36,4.31,2.62
draw,pthread,28,4,0.39,4.42,2.38
draw,pthread,28,4,0.39,4.38,2.36
draw,pthread,28,4,0.40,4.38,2.36
draw,pthread,28,5,0.42,4.98,2.56
draw,pthread,28,5,0.42,4.95,2.45
draw,pthread,28,5,0.40,5.05,2.50
draw,pthread,28,6,0.41,5.44,2.36
draw,pthread,28,6,0.46,5.40,2.36
draw,pthread,28,6,0.42,5.47,2.42
draw,pthread,28,7,0.46,5.88,2.30
draw,pthread,28,7,0.47,5.85,2.31
draw,pthread,28,7,0.44,5.82,2.25
draw,pthread,28,8,0.47,6.20,2.25
draw,pthread,28,8,0.41,6.18,2.24
draw,pthread,28,8,0.44,6.16,2.29
draw,tbb,28,1,0.34,4.32,4.76
draw,tbb,28,1,0.34,4.30,4.73
draw,tbb,28,1,0.36,4.28,4.73
draw,tbb,28,2,0.34,4.27,2.44
draw,tbb,28,2,0.34,4.32,2.44
draw,tbb,28,2,0.35,4.26,2.43
draw,tbb,28,3,0.35,4.29,1.68
draw,tbb,28,3,0.38,4.32,1.73
draw,tbb,28,3,0.38,4.35,1.71
draw,tbb,28,4,0.38,4.58,1.39
draw,tbb,28,4,0.44,4.62,1.46
draw,tbb,28,4,0.46,4.57,1.58
draw,tbb,28,5,0.42,5.59,1.35
draw,tbb,28,5,0.43,5.46,1.33
draw,tbb,28,5,0.43,5.52,1.34
draw,tbb,28,6,0.45,6.31,1.29
draw,tbb,28,6,0.45,6.35,1.29
draw,tbb,28,6,0.45,6.33,1.28
draw,tbb,28,7,0.47,7.18,1.25
draw,tbb,28,7,0.49,7.16,1.25
draw,tbb,28,7,0.49,7.09,1.24
draw,tbb,28,8,0.50,7.82,1.22
draw,tbb,28,8,0.47,7.92,1.22
draw,tbb,28,8,0.55,7.90,1.26
limits,pthread,28,1,0.00,1.43,1.44
limits,pthread,28,1,0.00,1.34,1.34
limits,pthread,28,1,0.00,1.34,1.34
limits,pthread,28,2,0.00,1.34,0.67
limits,pthread,28,2,0.00,1.39,0.72
limits,pthread,28,2,0.00,1.35,0.68
limits,pthread,28,3,0.00,1.35,0.45
limits,pthread,28,3,0.00,1.36,0.46
limits,pthread,28,3,0.00,1.36,0.46
limits,pthread,28,4,0.00,1.40,0.36
limits,pthread,28,4,0.00,1.38,0.35
limits,pthread,28,4,0.00,1.38,0.35
limits,pthread,28,5,0.00,1.57,0.36
limits,pthread,28,5,0.00,1.56,0.36
limits,pthread,28,5,0.00,1.55,0.36
limits,pthread,28,6,0.00,1.68,0.31
limits,pthread,28,6,0.00,1.68,0.31
limits,pthread,28,6,0.00,1.71,0.32
