cmd=limits lib=pthread power=28
threads,sys,user,elapsed
1,0.000,1.367,1.372
2,0.000,1.360,0.687
3,0.000,1.374,0.463
4,0.000,1.405,0.359
5,0.000,1.573,0.360
6,0.000,1.704,0.317
7,0.000,1.814,0.283
8,0.000,1.919,0.293
