cmd=draw lib=pthread power=28
threads,sys,user,elapsed
1,0.285,3.786,4.152
2,0.277,3.426,2.493
3,0.291,3.515,2.132
4,0.368,4.359,2.326
5,0.384,4.986,2.466
6,0.413,5.450,2.342
7,0.439,5.895,2.283
8,0.441,6.185,2.297
