cmd=limits lib=tbb power=28
threads,sys,user,elapsed
1,0.000,1.634,0.797
2,0.000,1.644,0.463
3,0.001,1.664,0.359
4,0.000,1.666,0.301
5,0.001,1.753,0.281
6,0.002,1.818,0.266
7,0.001,1.879,0.253
8,0.001,1.919,0.247
